timestamp, power.draw [W]
2018/09/14 17:11:41.734, 14.53 W
2018/09/14 17:11:41.934, 14.53 W
2018/09/14 17:11:42.135, 14.53 W
2018/09/14 17:11:42.336, 14.53 W
2018/09/14 17:11:42.537, 14.53 W
2018/09/14 17:11:42.738, 14.15 W
2018/09/14 17:11:42.938, 14.15 W
2018/09/14 17:11:43.139, 14.15 W
2018/09/14 17:11:43.340, 14.15 W
2018/09/14 17:11:43.541, 14.15 W
2018/09/14 17:11:43.742, 15.01 W
2018/09/14 17:11:43.943, 15.01 W
2018/09/14 17:11:44.143, 15.01 W
2018/09/14 17:11:44.344, 15.01 W
2018/09/14 17:11:44.545, 15.01 W
2018/09/14 17:11:44.746, 14.82 W
2018/09/14 17:11:44.947, 14.82 W
2018/09/14 17:11:45.148, 14.82 W
2018/09/14 17:11:45.348, 14.82 W
2018/09/14 17:11:45.549, 14.82 W
2018/09/14 17:11:45.750, 14.72 W
2018/09/14 17:11:45.950, 14.72 W
2018/09/14 17:11:46.151, 14.72 W
2018/09/14 17:11:46.352, 14.72 W
2018/09/14 17:11:46.553, 14.72 W
2018/09/14 17:11:46.754, 15.40 W
2018/09/14 17:11:46.954, 15.40 W
2018/09/14 17:11:47.156, 15.40 W
2018/09/14 17:11:47.357, 15.40 W
2018/09/14 17:11:47.557, 15.40 W
2018/09/14 17:11:47.758, 15.11 W
2018/09/14 17:11:47.959, 15.11 W
2018/09/14 17:11:48.159, 15.11 W
2018/09/14 17:11:48.360, 15.11 W
2018/09/14 17:11:48.561, 15.11 W
2018/09/14 17:11:48.762, 16.16 W
2018/09/14 17:11:48.962, 16.16 W
2018/09/14 17:11:49.163, 16.16 W
2018/09/14 17:11:49.364, 16.16 W
2018/09/14 17:11:49.564, 16.16 W
2018/09/14 17:11:49.765, 15.49 W
2018/09/14 17:11:49.966, 15.49 W
2018/09/14 17:11:50.167, 15.49 W
2018/09/14 17:11:50.368, 15.49 W
2018/09/14 17:11:50.569, 15.49 W
2018/09/14 17:11:50.770, 16.26 W
2018/09/14 17:11:50.970, 16.26 W
2018/09/14 17:11:51.171, 16.26 W
2018/09/14 17:11:51.372, 16.26 W
2018/09/14 17:11:51.573, 16.26 W
2018/09/14 17:11:51.774, 15.87 W
2018/09/14 17:11:51.975, 15.87 W
2018/09/14 17:11:52.175, 15.87 W
2018/09/14 17:11:52.376, 15.87 W
2018/09/14 17:11:52.577, 15.87 W
2018/09/14 17:11:52.778, 15.58 W
2018/09/14 17:11:52.979, 15.58 W
2018/09/14 17:11:53.179, 15.58 W
2018/09/14 17:11:53.380, 15.58 W
2018/09/14 17:11:53.581, 15.58 W
2018/09/14 17:11:53.782, 15.21 W
2018/09/14 17:11:53.983, 15.21 W
2018/09/14 17:11:54.183, 15.21 W
2018/09/14 17:11:54.384, 15.21 W
2018/09/14 17:11:54.585, 15.21 W
2018/09/14 17:11:54.786, 14.15 W
2018/09/14 17:11:54.987, 14.15 W
2018/09/14 17:11:55.187, 14.15 W
2018/09/14 17:11:55.388, 14.15 W
2018/09/14 17:11:55.589, 14.15 W
2018/09/14 17:11:55.790, 14.53 W
2018/09/14 17:11:55.991, 14.53 W
2018/09/14 17:11:56.192, 14.53 W
2018/09/14 17:11:56.392, 14.53 W
2018/09/14 17:11:56.593, 14.53 W
2018/09/14 17:11:56.794, 13.95 W
2018/09/14 17:11:56.995, 13.95 W
2018/09/14 17:11:57.196, 13.95 W
2018/09/14 17:11:57.396, 13.95 W
2018/09/14 17:11:57.597, 13.95 W
2018/09/14 17:11:57.798, 14.63 W
2018/09/14 17:11:57.999, 14.63 W
2018/09/14 17:11:58.200, 14.63 W
2018/09/14 17:11:58.400, 14.63 W
2018/09/14 17:11:58.601, 14.63 W
2018/09/14 17:11:58.802, 14.34 W
2018/09/14 17:11:59.003, 14.34 W
2018/09/14 17:11:59.204, 14.34 W
2018/09/14 17:11:59.404, 14.34 W
2018/09/14 17:11:59.605, 14.34 W
2018/09/14 17:11:59.806, 14.05 W
2018/09/14 17:12:00.007, 14.05 W
2018/09/14 17:12:00.208, 14.05 W
2018/09/14 17:12:00.408, 14.05 W
2018/09/14 17:12:00.609, 14.05 W
2018/09/14 17:12:00.810, 14.63 W
2018/09/14 17:12:01.011, 14.63 W
2018/09/14 17:12:01.212, 14.63 W
2018/09/14 17:12:01.412, 14.63 W
2018/09/14 17:12:01.613, 14.63 W
2018/09/14 17:12:01.814, 14.15 W
2018/09/14 17:12:02.015, 14.15 W
2018/09/14 17:12:02.216, 14.15 W
2018/09/14 17:12:02.416, 14.15 W
2018/09/14 17:12:02.617, 14.15 W
2018/09/14 17:12:02.818, 15.01 W
2018/09/14 17:12:03.019, 15.01 W
2018/09/14 17:12:03.220, 15.01 W
2018/09/14 17:12:03.420, 15.01 W
2018/09/14 17:12:03.621, 15.01 W
2018/09/14 17:12:03.822, 14.53 W
2018/09/14 17:12:04.023, 14.53 W
2018/09/14 17:12:04.224, 14.53 W
2018/09/14 17:12:04.424, 14.53 W
2018/09/14 17:12:04.625, 14.53 W
2018/09/14 17:12:04.826, 15.49 W
2018/09/14 17:12:05.027, 15.49 W
2018/09/14 17:12:05.228, 15.49 W
2018/09/14 17:12:05.429, 15.49 W
2018/09/14 17:12:05.629, 15.49 W
2018/09/14 17:12:05.830, 15.40 W
2018/09/14 17:12:06.031, 15.40 W
2018/09/14 17:12:06.232, 15.40 W
2018/09/14 17:12:06.432, 15.40 W
2018/09/14 17:12:06.633, 15.40 W
2018/09/14 17:12:06.834, 15.97 W
2018/09/14 17:12:07.035, 15.97 W
2018/09/14 17:12:07.236, 15.97 W
2018/09/14 17:12:07.436, 15.97 W
2018/09/14 17:12:07.637, 15.97 W
2018/09/14 17:12:07.838, 15.68 W
2018/09/14 17:12:08.039, 15.68 W
2018/09/14 17:12:08.239, 15.68 W
2018/09/14 17:12:08.440, 15.68 W
2018/09/14 17:12:08.641, 15.68 W
2018/09/14 17:12:08.842, 16.07 W
2018/09/14 17:12:09.043, 16.07 W
2018/09/14 17:12:09.244, 16.07 W
2018/09/14 17:12:09.445, 16.07 W
2018/09/14 17:12:09.646, 16.07 W
2018/09/14 17:12:09.847, 15.49 W
2018/09/14 17:12:10.047, 15.49 W
2018/09/14 17:12:10.248, 15.49 W
2018/09/14 17:12:10.449, 15.49 W
2018/09/14 17:12:10.650, 15.49 W
2018/09/14 17:12:10.850, 15.30 W
2018/09/14 17:12:11.051, 15.30 W
2018/09/14 17:12:11.252, 15.30 W
2018/09/14 17:12:11.453, 15.30 W
2018/09/14 17:12:11.653, 15.30 W
2018/09/14 17:12:11.854, 13.95 W
2018/09/14 17:12:12.055, 13.95 W
2018/09/14 17:12:12.256, 13.95 W
2018/09/14 17:12:12.457, 13.95 W
2018/09/14 17:12:12.657, 13.95 W
2018/09/14 17:12:12.858, 14.34 W
2018/09/14 17:12:13.059, 14.34 W
2018/09/14 17:12:13.260, 14.34 W
2018/09/14 17:12:13.461, 14.34 W
2018/09/14 17:12:13.662, 14.34 W
2018/09/14 17:12:13.863, 14.05 W
2018/09/14 17:12:14.064, 14.05 W
2018/09/14 17:12:14.264, 14.05 W
2018/09/14 17:12:14.465, 14.05 W
2018/09/14 17:12:14.666, 14.05 W
2018/09/14 17:12:14.866, 14.53 W
2018/09/14 17:12:15.067, 14.53 W
2018/09/14 17:12:15.268, 14.53 W
2018/09/14 17:12:15.469, 14.53 W
2018/09/14 17:12:15.670, 14.53 W
2018/09/14 17:12:15.871, 14.53 W
2018/09/14 17:12:16.072, 14.53 W
2018/09/14 17:12:16.273, 14.53 W
2018/09/14 17:12:16.474, 14.53 W
2018/09/14 17:12:16.674, 14.53 W
2018/09/14 17:12:16.875, 14.15 W
2018/09/14 17:12:17.076, 14.15 W
