timestamp, power.draw [W]
2018/09/16 13:10:19.636, 40.46 W
2018/09/16 13:10:19.836, 40.55 W
2018/09/16 13:10:20.037, 40.46 W
2018/09/16 13:10:20.240, 40.46 W
2018/09/16 13:10:20.441, 40.65 W
2018/09/16 13:10:20.642, 40.46 W
2018/09/16 13:10:20.842, 40.65 W
2018/09/16 13:10:21.043, 40.36 W
2018/09/16 13:10:21.247, 40.46 W
2018/09/16 13:10:21.447, 40.46 W
2018/09/16 13:10:21.648, 40.46 W
2018/09/16 13:10:21.848, 40.36 W
2018/09/16 13:10:22.049, 40.55 W
2018/09/16 13:10:22.252, 40.46 W
2018/09/16 13:10:22.453, 40.55 W
2018/09/16 13:10:22.653, 40.65 W
2018/09/16 13:10:22.854, 40.74 W
2018/09/16 13:10:23.054, 40.46 W
2018/09/16 13:10:23.257, 40.55 W
2018/09/16 13:10:23.458, 40.36 W
2018/09/16 13:10:23.658, 40.46 W
2018/09/16 13:10:23.859, 40.26 W
2018/09/16 13:10:24.060, 40.26 W
2018/09/16 13:10:24.260, 40.26 W
2018/09/16 13:10:24.462, 40.36 W
2018/09/16 13:10:24.663, 40.36 W
2018/09/16 13:10:24.863, 40.55 W
2018/09/16 13:10:25.064, 40.55 W
2018/09/16 13:10:25.264, 40.36 W
2018/09/16 13:10:25.468, 40.07 W
2018/09/16 13:10:25.669, 40.46 W
2018/09/16 13:10:25.870, 40.65 W
2018/09/16 13:10:26.070, 40.46 W
2018/09/16 13:10:26.271, 40.46 W
2018/09/16 13:10:26.474, 40.46 W
2018/09/16 13:10:26.674, 40.74 W
2018/09/16 13:10:26.875, 40.46 W
2018/09/16 13:10:27.075, 40.55 W
2018/09/16 13:10:27.276, 40.46 W
2018/09/16 13:10:27.479, 40.36 W
2018/09/16 13:10:27.680, 40.46 W
2018/09/16 13:10:27.880, 40.74 W
2018/09/16 13:10:28.081, 40.65 W
2018/09/16 13:10:28.281, 40.74 W
2018/09/16 13:10:28.484, 40.36 W
2018/09/16 13:10:28.685, 40.46 W
2018/09/16 13:10:28.885, 40.55 W
2018/09/16 13:10:29.086, 40.55 W
2018/09/16 13:10:29.286, 40.55 W
2018/09/16 13:10:29.489, 40.46 W
2018/09/16 13:10:29.689, 40.36 W
2018/09/16 13:10:29.890, 40.36 W
2018/09/16 13:10:30.090, 40.55 W
2018/09/16 13:10:30.291, 40.26 W
2018/09/16 13:10:30.495, 40.46 W
2018/09/16 13:10:30.696, 40.55 W
2018/09/16 13:10:30.896, 40.46 W
2018/09/16 13:10:31.097, 40.36 W
2018/09/16 13:10:31.297, 40.46 W
2018/09/16 13:10:31.502, 40.46 W
2018/09/16 13:10:31.702, 40.55 W
2018/09/16 13:10:31.903, 40.36 W
2018/09/16 13:10:32.104, 40.65 W
2018/09/16 13:10:32.304, 40.84 W
2018/09/16 13:10:32.508, 40.55 W
2018/09/16 13:10:32.709, 40.74 W
2018/09/16 13:10:32.909, 40.84 W
2018/09/16 13:10:33.110, 40.65 W
2018/09/16 13:10:33.311, 40.55 W
2018/09/16 13:10:33.515, 41.03 W
2018/09/16 13:10:33.715, 40.55 W
2018/09/16 13:10:33.916, 40.65 W
2018/09/16 13:10:34.117, 40.74 W
2018/09/16 13:10:34.317, 40.84 W
2018/09/16 13:10:34.521, 40.46 W
2018/09/16 13:10:34.721, 40.46 W
2018/09/16 13:10:34.922, 40.65 W
2018/09/16 13:10:35.122, 41.03 W
2018/09/16 13:10:35.323, 41.03 W
2018/09/16 13:10:35.526, 40.94 W
2018/09/16 13:10:35.726, 41.03 W
2018/09/16 13:10:35.927, 40.84 W
2018/09/16 13:10:36.128, 40.94 W
2018/09/16 13:10:36.328, 40.84 W
2018/09/16 13:10:36.531, 41.03 W
2018/09/16 13:10:36.731, 40.94 W
2018/09/16 13:10:36.932, 40.94 W
