timestamp, power.draw [W]
2018/11/23 12:27:05.965, 39.68 W
2018/11/23 12:27:06.169, 39.59 W
2018/11/23 12:27:06.369, 39.88 W
2018/11/23 12:27:06.570, 39.59 W
2018/11/23 12:27:06.770, 39.59 W
2018/11/23 12:27:06.971, 39.59 W
2018/11/23 12:27:07.174, 39.59 W
2018/11/23 12:27:07.375, 39.78 W
2018/11/23 12:27:07.576, 39.49 W
2018/11/23 12:27:07.776, 39.78 W
2018/11/23 12:27:07.977, 39.88 W
2018/11/23 12:27:08.180, 39.68 W
2018/11/23 12:27:08.381, 39.68 W
2018/11/23 12:27:08.581, 39.40 W
2018/11/23 12:27:08.782, 39.68 W
2018/11/23 12:27:08.982, 39.68 W
2018/11/23 12:27:09.186, 39.49 W
2018/11/23 12:27:09.387, 39.78 W
2018/11/23 12:27:09.587, 39.78 W
2018/11/23 12:27:09.788, 39.69 W
2018/11/23 12:27:09.988, 39.78 W
2018/11/23 12:27:10.192, 39.49 W
2018/11/23 12:27:10.393, 39.68 W
2018/11/23 12:27:10.594, 39.59 W
2018/11/23 12:27:10.794, 39.59 W
2018/11/23 12:27:10.995, 39.59 W
2018/11/23 12:27:11.199, 39.68 W
2018/11/23 12:27:11.399, 39.68 W
2018/11/23 12:27:11.600, 39.78 W
2018/11/23 12:27:11.800, 39.78 W
2018/11/23 12:27:12.001, 39.68 W
2018/11/23 12:27:12.205, 39.88 W
2018/11/23 12:27:12.406, 39.78 W
2018/11/23 12:27:12.606, 39.97 W
2018/11/23 12:27:12.807, 39.68 W
2018/11/23 12:27:13.007, 39.68 W
2018/11/23 12:27:13.212, 39.68 W
2018/11/23 12:27:13.412, 39.49 W
2018/11/23 12:27:13.613, 39.59 W
2018/11/23 12:27:13.813, 39.78 W
2018/11/23 12:27:14.014, 39.68 W
2018/11/23 12:27:14.217, 39.68 W
2018/11/23 12:27:14.418, 40.07 W
2018/11/23 12:27:14.618, 39.88 W
2018/11/23 12:27:14.819, 39.68 W
2018/11/23 12:27:15.019, 39.30 W
2018/11/23 12:27:15.222, 39.68 W
2018/11/23 12:27:15.423, 39.78 W
2018/11/23 12:27:15.624, 39.88 W
2018/11/23 12:27:15.824, 39.68 W
2018/11/23 12:27:16.025, 39.68 W
2018/11/23 12:27:16.228, 39.68 W
2018/11/23 12:27:16.429, 39.88 W
2018/11/23 12:27:16.629, 39.78 W
2018/11/23 12:27:16.830, 39.88 W
2018/11/23 12:27:17.031, 39.78 W
2018/11/23 12:27:17.235, 39.78 W
2018/11/23 12:27:17.435, 39.68 W
2018/11/23 12:27:17.636, 39.68 W
2018/11/23 12:27:17.836, 39.68 W
2018/11/23 12:27:18.037, 39.68 W
2018/11/23 12:27:18.238, 39.78 W
2018/11/23 12:27:18.440, 39.88 W
2018/11/23 12:27:18.640, 39.78 W
2018/11/23 12:27:18.841, 39.69 W
2018/11/23 12:27:19.042, 39.68 W
2018/11/23 12:27:19.242, 39.88 W
2018/11/23 12:27:19.446, 39.68 W
2018/11/23 12:27:19.646, 39.78 W
2018/11/23 12:27:19.847, 39.68 W
2018/11/23 12:27:20.047, 39.78 W
2018/11/23 12:27:20.248, 39.88 W
2018/11/23 12:27:20.451, 39.68 W
2018/11/23 12:27:20.652, 39.88 W
2018/11/23 12:27:20.852, 39.97 W
2018/11/23 12:27:21.053, 39.78 W
2018/11/23 12:27:21.254, 39.59 W
2018/11/23 12:27:21.458, 39.40 W
2018/11/23 12:27:21.658, 39.59 W
2018/11/23 12:27:21.859, 39.59 W
2018/11/23 12:27:22.060, 39.49 W
2018/11/23 12:27:22.260, 39.59 W
2018/11/23 12:27:22.465, 39.59 W
2018/11/23 12:27:22.665, 39.78 W
2018/11/23 12:27:22.866, 39.68 W
2018/11/23 12:27:23.067, 39.49 W
2018/11/23 12:27:23.267, 39.49 W
2018/11/23 12:27:23.471, 39.78 W
2018/11/23 12:27:23.672, 39.78 W
2018/11/23 12:27:23.872, 39.88 W
2018/11/23 12:27:24.073, 39.68 W
2018/11/23 12:27:24.274, 39.97 W
2018/11/23 12:27:24.478, 39.68 W
2018/11/23 12:27:24.678, 39.59 W
2018/11/23 12:27:24.879, 39.88 W
2018/11/23 12:27:25.079, 39.68 W
2018/11/23 12:27:25.280, 39.78 W
2018/11/23 12:27:25.484, 39.68 W
2018/11/23 12:27:25.685, 39.68 W
2018/11/23 12:27:25.886, 39.68 W
2018/11/23 12:27:26.086, 39.68 W
2018/11/23 12:27:26.287, 39.59 W
2018/11/23 12:27:26.490, 39.68 W
2018/11/23 12:27:26.691, 39.49 W
2018/11/23 12:27:26.891, 39.59 W
2018/11/23 12:27:27.092, 39.68 W
2018/11/23 12:27:27.292, 39.97 W
2018/11/23 12:27:27.496, 39.59 W
2018/11/23 12:27:27.697, 39.88 W
2018/11/23 12:27:27.897, 39.59 W
2018/11/23 12:27:28.098, 39.50 W
2018/11/23 12:27:28.299, 39.68 W
2018/11/23 12:27:28.502, 39.59 W
2018/11/23 12:27:28.703, 39.68 W
2018/11/23 12:27:28.903, 39.78 W
2018/11/23 12:27:29.104, 39.59 W
2018/11/23 12:27:29.305, 39.59 W
2018/11/23 12:27:29.508, 39.68 W
2018/11/23 12:27:29.709, 39.68 W
2018/11/23 12:27:29.909, 39.68 W
2018/11/23 12:27:30.110, 39.68 W
2018/11/23 12:27:30.310, 39.78 W
2018/11/23 12:27:30.511, 39.78 W
2018/11/23 12:27:30.713, 39.78 W
2018/11/23 12:27:30.914, 39.88 W
2018/11/23 12:27:31.114, 39.68 W
2018/11/23 12:27:31.315, 39.88 W
2018/11/23 12:27:31.515, 39.88 W
2018/11/23 12:27:31.720, 39.78 W
2018/11/23 12:27:31.920, 39.78 W
2018/11/23 12:27:32.121, 39.88 W
2018/11/23 12:27:32.321, 39.78 W
2018/11/23 12:27:32.522, 39.78 W
2018/11/23 12:27:32.723, 39.88 W
2018/11/23 12:27:32.926, 39.88 W
2018/11/23 12:27:33.126, 39.88 W
2018/11/23 12:27:33.327, 39.68 W
2018/11/23 12:27:33.527, 39.68 W
2018/11/23 12:27:33.728, 39.59 W
2018/11/23 12:27:33.932, 39.78 W
2018/11/23 12:27:34.132, 39.78 W
2018/11/23 12:27:34.333, 39.78 W
2018/11/23 12:27:34.533, 40.07 W
2018/11/23 12:27:34.734, 39.68 W
2018/11/23 12:27:34.937, 39.88 W
2018/11/23 12:27:35.138, 39.97 W
2018/11/23 12:27:35.338, 39.88 W
2018/11/23 12:27:35.539, 39.68 W
2018/11/23 12:27:35.739, 40.07 W
2018/11/23 12:27:35.940, 39.88 W
2018/11/23 12:27:36.142, 39.88 W
2018/11/23 12:27:36.343, 39.88 W
2018/11/23 12:27:36.543, 39.97 W
2018/11/23 12:27:36.744, 39.88 W
2018/11/23 12:27:36.944, 39.68 W
2018/11/23 12:27:37.148, 39.78 W
2018/11/23 12:27:37.349, 39.78 W
2018/11/23 12:27:37.549, 39.97 W
2018/11/23 12:27:37.750, 39.78 W
2018/11/23 12:27:37.950, 39.78 W
2018/11/23 12:27:38.151, 39.88 W
2018/11/23 12:27:38.353, 39.68 W
2018/11/23 12:27:38.554, 39.97 W
2018/11/23 12:27:38.754, 39.78 W
2018/11/23 12:27:38.955, 39.88 W
2018/11/23 12:27:39.155, 39.88 W
2018/11/23 12:27:39.360, 39.88 W
2018/11/23 12:27:39.560, 39.88 W
2018/11/23 12:27:39.761, 39.88 W
2018/11/23 12:27:39.961, 39.78 W
2018/11/23 12:27:40.162, 39.97 W
2018/11/23 12:27:40.366, 39.68 W
2018/11/23 12:27:40.566, 39.59 W
2018/11/23 12:27:40.767, 39.68 W
2018/11/23 12:27:40.967, 40.16 W
2018/11/23 12:27:41.168, 39.78 W
2018/11/23 12:27:41.371, 39.78 W
2018/11/23 12:27:41.572, 39.68 W
2018/11/23 12:27:41.773, 39.68 W
2018/11/23 12:27:41.973, 40.26 W
2018/11/23 12:27:42.174, 39.88 W
2018/11/23 12:27:42.378, 39.88 W
2018/11/23 12:27:42.579, 39.68 W
2018/11/23 12:27:42.779, 39.59 W
2018/11/23 12:27:42.980, 39.68 W
2018/11/23 12:27:43.181, 39.69 W
2018/11/23 12:27:43.385, 39.98 W
2018/11/23 12:27:43.585, 39.50 W
2018/11/23 12:27:43.786, 39.88 W
2018/11/23 12:27:43.986, 39.69 W
2018/11/23 12:27:44.187, 39.68 W
2018/11/23 12:27:44.390, 39.97 W
2018/11/23 12:27:44.591, 39.78 W
2018/11/23 12:27:44.792, 39.78 W
2018/11/23 12:27:44.992, 39.78 W
2018/11/23 12:27:45.193, 39.88 W
2018/11/23 12:27:45.397, 39.88 W
2018/11/23 12:27:45.598, 39.97 W
2018/11/23 12:27:45.798, 39.97 W
2018/11/23 12:27:45.999, 40.16 W
2018/11/23 12:27:46.199, 39.97 W
2018/11/23 12:27:46.402, 39.97 W
2018/11/23 12:27:46.603, 39.97 W
2018/11/23 12:27:46.803, 39.78 W
2018/11/23 12:27:47.004, 39.88 W
2018/11/23 12:27:47.204, 39.88 W
2018/11/23 12:27:47.409, 39.78 W
2018/11/23 12:27:47.609, 39.59 W
2018/11/23 12:27:47.810, 39.97 W
2018/11/23 12:27:48.010, 39.68 W
2018/11/23 12:27:48.211, 39.88 W
2018/11/23 12:27:48.414, 39.97 W
2018/11/23 12:27:48.615, 39.78 W
2018/11/23 12:27:48.815, 39.78 W
2018/11/23 12:27:49.016, 39.88 W
2018/11/23 12:27:49.216, 39.88 W
2018/11/23 12:27:49.420, 39.68 W
2018/11/23 12:27:49.621, 39.78 W
